Jugador,Min,90 s,Gls.,Ass,G-TP,TP,TPint,TA,TR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Frenkie de Jong,3154,35.0,3,4,3,0,0,5,0,0.09,0.11,0.20,0.09,0.20,5.5,5.5,5.5,11.0,0.16,0.16,0.31,0.16,0.31
Jordi Alba,3025,33.6,3,5,3,0,0,9,0,0.09,0.15,0.24,0.09,0.24,2.4,2.4,7.4,9.8,0.07,0.22,0.29,0.07,0.29
Lionel Messi,3023,33.6,30,9,27,3,5,4,0,0.89,0.27,1.16,0.80,1.07,23.6,19.5,10.8,30.3,0.70,0.32,1.03,0.58,0.90
Antoine Griezmann,2604,28.9,13,7,12,1,2,4,0,0.45,0.24,0.69,0.41,0.66,13.9,12.4,5.6,18.0,0.48,0.19,0.67,0.43,0.62
Sergio Busquets,2517,28.0,0,5,0,0,0,9,0,0.00,0.18,0.18,0.00,0.18,0.2,0.2,3.6,3.8,0.01,0.13,0.14,0.01,0.14
Marc Andre ter Stegen,2790,31.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.00,0.00,0.00,0.00,0.00
Clement Lenglet,2475,27.5,1,0,1,0,0,11,2,0.04,0.00,0.04,0.04,0.04,1.4,1.4,0.9,2.3,0.05,0.03,0.08,0.05,0.08
Pedri,2415,26.8,3,3,3,0,0,2,0,0.11,0.11,0.22,0.11,0.22,3.9,3.8,4.7,8.5,0.15,0.18,0.32,0.14,0.32
Sergino Dest,1909,21.2,2,1,2,0,0,1,0,0.09,0.05,0.14,0.09,0.14,2.5,2.5,2.6,5.0,0.12,0.12,0.24,0.12,0.24
Oscar Mingueza,1901,21.1,2,2,2,0,0,4,0,0.09,0.09,0.19,0.09,0.19,1.0,1.0,1.0,2.0,0.05,0.05,0.09,0.05,0.09
Ousmane Dembele,1774,19.7,6,3,6,0,0,2,0,0.30,0.15,0.46,0.30,0.46,5.6,5.6,4.9,10.6,0.29,0.25,0.54,0.29,0.54
Gerard Pique,1481,16.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.5,1.1,0.04,0.03,0.07,0.04,0.07
Ronald Araujo,1510,16.8,2,1,2,0,0,3,0,0.12,0.06,0.18,0.12,0.18,1.6,1.6,0.1,1.7,0.09,0.01,0.10,0.09,0.10
Martin Braithwaite,1175,13.1,2,2,2,0,1,3,0,0.15,0.15,0.31,0.15,0.31,5.0,4.2,2.0,6.3,0.38,0.16,0.54,0.32,0.48
Sergi Roberto,946,10.5,1,2,1,0,0,1,0,0.10,0.19,0.29,0.10,0.29,0.5,0.5,2.0,2.5,0.05,0.19,0.24,0.05,0.24
Philippe Coutinho,654,7.3,2,2,2,0,0,0,0,0.28,0.28,0.55,0.28,0.55,3.9,3.9,0.9,4.7,0.53,0.12,0.65,0.53,0.65
Neto,630,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Samuel Umtiti,645,7.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02
Miralem Pjanic,627,7.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,1.0,2.2,0.17,0.14,0.31,0.17,0.31
Ansu Fati,431,4.8,4,0,4,0,0,1,0,0.84,0.00,0.84,0.84,0.84,1.8,1.8,1.4,3.2,0.37,0.29,0.66,0.37,0.66
Ilaix,542,6.0,1,2,1,0,0,1,0,0.17,0.33,0.50,0.17,0.50,1.2,1.2,0.8,2.0,0.19,0.14,0.33,0.19,0.33
Francisco Trincao,706,7.8,3,2,3,0,0,1,0,0.38,0.25,0.64,0.38,0.64,3.1,3.1,1.0,4.1,0.40,0.13,0.52,0.40,0.52
Junior Firpo,289,3.2,1,1,1,0,0,2,0,0.31,0.31,0.62,0.31,0.62,0.8,0.8,0.7,1.5,0.26,0.21,0.47,0.26,0.47
Riqui Puig,292,3.2,1,0,1,0,0,1,0,0.31,0.00,0.31,0.31,0.31,0.3,0.3,0.2,0.5,0.08,0.07,0.16,0.08,0.16
